loan_id,customer_id,loan_amount,term_months,interest_rate,purpose,loan_status,disbursed_date
1,504,78780,36,17.06,Vehicle,Paid Off,2025-03-29
2,1380,83935,60,12.46,Medical,Current,2024-10-24
3,893,33682,36,21.08,Medical,Default,2025-03-26
4,1041,16279,6,21.73,Vehicle,Default,2025-03-09
5,26,29375,60,14.11,Vehicle,Current,2025-04-03
6,271,31978,60,10.5,Wedding,Default,2026-02-04
7,521,39135,48,21.79,Debt Consolidation,Current,2026-03-18
8,1045,25543,24,15.31,Business Expansion,Current,2022-06-10
9,409,25540,48,10.61,Wedding,Default,2024-08-25
10,1781,24611,60,17.8,Home Renovation,Paid Off,2025-10-01
11,41,55957,60,17.42,Medical,Current,2025-04-02
12,1089,18864,48,10.16,Business Expansion,Current,2023-12-05
13,143,28193,6,15.36,Vehicle,Paid Off,2024-11-15
14,553,128191,48,18.67,Medical,Current,2024-05-12
15,656,29952,24,13.12,Wedding,Default,2022-03-14
16,286,47679,48,18.87,Debt Consolidation,Current,2026-01-28
17,49,46450,48,12.76,Vehicle,Paid Off,2025-07-12
18,1568,18985,48,11.61,Wedding,Paid Off,2022-04-16
19,310,77280,24,19.61,Home Renovation,Default,2025-07-02
20,1814,57140,24,15.56,Business Expansion,Default,2022-09-17
21,1213,41289,6,20.14,Medical,Default,2023-07-24
22,718,25791,12,17.2,Debt Consolidation,Default,2023-07-18
23,1423,53923,24,9.68,Business Expansion,Paid Off,2022-08-17
24,1571,93963,12,20.88,Education,Current,2026-02-22
25,927,28748,60,15.08,Medical,Current,2022-12-26
26,763,31671,60,12.45,Debt Consolidation,Default,2023-01-06
27,1802,59589,48,20.28,Home Renovation,Paid Off,2023-12-04
28,1858,32856,12,16.94,Debt Consolidation,Default,2022-11-12
29,1440,15169,36,18.91,Debt Consolidation,Default,2024-04-25
30,1520,51434,36,12.47,Wedding,Paid Off,2024-06-20
31,1119,26813,60,11.59,Wedding,Current,2025-03-29
32,1169,38425,24,10.18,Debt Consolidation,Paid Off,2023-06-26
33,1431,36658,6,10.16,Vehicle,Current,2024-08-08
34,16,40499,36,13.27,Debt Consolidation,Paid Off,2026-03-09
35,1951,39566,48,12.42,Wedding,Default,2025-10-31
36,1841,12167,36,15.43,Business Expansion,Paid Off,2022-10-25
37,194,247289,36,9.65,Vehicle,Current,2024-07-08
38,800,241576,60,13.45,Wedding,Current,2024-12-21
39,1612,29628,6,10.72,Wedding,Current,2024-12-24
40,1195,46386,24,21.45,Business Expansion,Current,2024-06-03
41,1970,38596,60,20.23,Medical,Default,2023-11-18
42,1603,24917,24,19.53,Wedding,Current,2023-06-07
43,1694,10016,48,14.39,Wedding,Current,2026-05-03
44,1614,179962,60,12.52,Business Expansion,Default,2025-10-08
45,1487,45141,12,16.0,Wedding,Default,2025-10-19
46,1127,20698,12,13.42,Wedding,Paid Off,2022-01-22
47,633,14212,6,19.9,Vehicle,Default,2022-01-25
48,1889,33545,6,16.07,Vehicle,Current,2025-11-04
49,1708,46983,24,12.24,Medical,Current,2023-08-04
50,866,22412,12,9.93,Home Renovation,Current,2025-06-22
51,1503,45189,6,21.23,Debt Consolidation,Default,2025-09-06
52,1414,24174,12,21.38,Home Renovation,Current,2025-07-30
53,551,10633,60,21.47,Debt Consolidation,Default,2022-06-26
54,1295,10000,48,11.12,Debt Consolidation,Default,2025-09-06
55,162,59997,60,16.58,Home Renovation,Paid Off,2023-01-14
56,1261,40652,60,11.8,Vehicle,Default,2023-08-27
57,334,91936,60,21.2,Vehicle,Current,2025-08-01
58,1942,47110,24,19.12,Wedding,Current,2025-11-18
59,1255,24503,24,12.72,Home Renovation,Current,2026-05-18
60,562,17904,24,19.21,Vehicle,Paid Off,2024-02-23
61,517,32038,24,21.95,Debt Consolidation,Default,2023-06-13
62,929,22719,24,11.72,Vehicle,Current,2022-05-23
63,1064,28172,12,17.13,Wedding,Current,2023-01-01
64,1556,42679,36,10.86,Debt Consolidation,Default,2025-01-12
65,1203,66321,36,12.23,Home Renovation,Current,2025-08-10
66,224,107553,36,18.44,Home Renovation,Paid Off,2022-07-31
67,441,27936,6,10.38,Medical,Current,2026-01-30
68,432,16724,36,9.73,Education,Paid Off,2024-10-16
69,958,25988,60,17.5,Wedding,Paid Off,2022-03-19
70,1080,17107,36,12.83,Medical,Paid Off,2025-12-04
71,1752,54981,36,16.68,Wedding,Current,2024-11-21
72,1707,41006,36,15.48,Debt Consolidation,Current,2024-04-07
73,532,30371,60,19.26,Home Renovation,Current,2026-05-28
74,1372,37722,48,12.32,Wedding,Default,2024-02-27
75,1581,21052,36,11.02,Medical,Paid Off,2025-01-01
76,489,29376,24,18.02,Home Renovation,Paid Off,2024-03-31
77,1694,45904,60,21.96,Home Renovation,Paid Off,2025-08-18
78,1267,37720,24,16.18,Home Renovation,Current,2023-11-28
79,1171,33247,36,19.01,Wedding,Default,2023-08-17
80,823,50015,12,11.71,Vehicle,Current,2022-03-22
81,755,61581,60,11.89,Vehicle,Default,2025-11-26
82,610,36287,6,17.38,Vehicle,Paid Off,2024-01-06
83,204,27448,6,20.57,Wedding,Default,2024-06-15
84,521,19137,12,11.25,Home Renovation,Paid Off,2023-01-31
85,1421,42917,60,21.95,Vehicle,Default,2023-05-04
86,1073,37114,36,10.29,Wedding,Default,2025-01-12
87,1272,16915,24,15.75,Home Renovation,Paid Off,2024-07-09
88,1101,89262,6,13.74,Debt Consolidation,Current,2023-11-23
89,1222,71141,60,10.04,Education,Default,2022-08-31
90,1954,20530,60,17.84,Wedding,Paid Off,2024-07-27
91,1060,122183,48,11.36,Education,Default,2025-04-01
92,221,56471,6,9.96,Vehicle,Paid Off,2022-10-17
93,854,13981,60,9.74,Home Renovation,Paid Off,2025-06-20
94,1506,41969,12,18.27,Home Renovation,Default,2022-09-25
95,576,20779,12,17.41,Debt Consolidation,Current,2023-09-22
96,315,25599,6,15.2,Debt Consolidation,Default,2022-12-16
97,220,45715,48,10.3,Home Renovation,Default,2022-08-06
98,1414,80119,36,16.94,Education,Default,2025-06-14
99,1510,78262,6,19.56,Medical,Current,2024-05-22
100,1234,14384,60,17.98,Home Renovation,Default,2023-10-27
101,1630,39565,60,16.7,Medical,Current,2022-10-09
102,1697,17458,12,19.05,Education,Paid Off,2025-04-29
103,854,16794,24,10.29,Education,Current,2023-07-15
104,1764,31374,36,11.6,Business Expansion,Current,2024-01-28
105,1849,55302,12,14.98,Home Renovation,Default,2025-04-06
106,892,32424,12,10.75,Business Expansion,Current,2025-07-18
107,1620,38457,36,19.22,Vehicle,Current,2022-02-02
108,417,39948,6,9.58,Home Renovation,Paid Off,2023-01-03
109,1684,92653,60,17.65,Vehicle,Paid Off,2023-08-05
110,1384,38861,60,19.59,Vehicle,Current,2026-05-02
111,966,24383,60,11.09,Wedding,Default,2022-10-21
112,1654,35992,24,16.04,Education,Paid Off,2024-04-23
113,566,48696,12,17.13,Business Expansion,Paid Off,2022-03-19
114,1989,33634,12,18.46,Home Renovation,Paid Off,2025-06-07
115,1971,10272,60,19.83,Medical,Paid Off,2023-09-09
116,401,35336,36,9.56,Education,Current,2023-04-28
117,510,31063,6,21.83,Business Expansion,Current,2022-07-15
118,653,64799,24,20.28,Business Expansion,Paid Off,2025-01-10
119,277,25126,12,15.3,Wedding,Current,2025-07-06
120,1299,41098,12,12.96,Home Renovation,Current,2023-02-01
121,649,58509,12,18.07,Vehicle,Paid Off,2024-08-29
122,951,18483,12,11.5,Home Renovation,Current,2022-03-30
123,298,35134,60,14.05,Vehicle,Current,2023-03-06
124,1295,31948,24,13.68,Vehicle,Paid Off,2026-04-03
125,578,20676,6,10.81,Business Expansion,Current,2022-04-18
126,1839,65192,12,11.48,Vehicle,Paid Off,2022-03-01
127,216,61042,48,10.95,Wedding,Current,2023-04-27
128,1824,68447,36,16.91,Vehicle,Paid Off,2023-10-30
129,684,38156,12,18.84,Education,Paid Off,2023-10-30
130,379,20303,6,13.58,Education,Paid Off,2022-07-20
131,1676,58400,60,14.66,Vehicle,Current,2023-02-14
