repayment_id,loan_id,payment_date,amount_paid,days_late
1,1,2025-04-28,2188.33,4
2,1,2025-05-28,2188.33,0
3,1,2025-06-27,2188.33,0
4,1,2025-07-27,2188.33,3
5,2,2024-11-23,1398.92,2
6,2,2024-12-23,1398.92,0
7,2,2025-01-22,1398.92,3
8,3,2025-04-25,935.61,14
9,3,2025-05-25,935.61,23
10,4,2025-04-08,2713.17,3
11,4,2025-05-08,2713.17,9
12,4,2025-06-07,2713.17,1
13,5,2025-05-03,489.58,3
14,5,2025-06-02,489.58,3
15,5,2025-07-02,489.58,0
16,5,2025-08-01,489.58,3
17,5,2025-08-31,489.58,1
18,5,2025-09-30,489.58,1
19,5,2025-10-30,489.58,3
20,6,2026-03-06,532.97,21
21,6,2026-04-05,532.97,0
22,6,2026-05-05,532.97,18
23,6,2026-06-04,532.97,6
24,6,2026-07-04,532.97,6
25,6,2026-08-03,532.97,36
26,6,2026-09-02,532.97,6
27,6,2026-10-02,532.97,2
28,6,2026-11-01,532.97,1
29,6,2026-12-01,532.97,19
30,6,2026-12-31,532.97,8
31,6,2027-01-30,532.97,29
32,6,2027-03-01,532.97,11
33,6,2027-03-31,532.97,8
34,7,2026-04-17,815.31,1
35,7,2026-05-17,815.31,1
36,7,2026-06-16,815.31,4
37,7,2026-07-16,815.31,2
38,7,2026-08-15,815.31,1
39,7,2026-09-14,815.31,1
40,7,2026-10-14,815.31,0
41,7,2026-11-13,815.31,0
42,7,2026-12-13,815.31,0
43,7,2027-01-12,815.31,1
44,7,2027-02-11,815.31,1
45,7,2027-03-13,815.31,0
46,7,2027-04-12,815.31,5
47,7,2027-05-12,815.31,7
48,7,2027-06-11,815.31,0
49,7,2027-07-11,815.31,0
50,7,2027-08-10,815.31,1
51,8,2022-07-10,1064.29,0
52,8,2022-08-09,1064.29,2
53,8,2022-09-08,1064.29,1
54,8,2022-10-08,1064.29,0
55,8,2022-11-07,1064.29,2
56,9,2024-09-24,532.08,48
57,9,2024-10-24,532.08,41
58,9,2024-11-23,532.08,3
59,9,2024-12-23,532.08,2
60,9,2025-01-22,532.08,36
61,9,2025-02-21,532.08,13
62,9,2025-03-23,532.08,15
63,9,2025-04-22,532.08,32
64,9,2025-05-22,532.08,5
65,9,2025-06-21,532.08,7
66,10,2025-10-31,410.18,0
67,10,2025-11-30,410.18,2
68,10,2025-12-30,410.18,2
69,10,2026-01-29,410.18,5
70,10,2026-02-28,410.18,13
71,10,2026-03-30,410.18,2
72,10,2026-04-29,410.18,2
73,10,2026-05-29,410.18,3
74,10,2026-06-28,410.18,8
75,10,2026-07-28,410.18,2
76,10,2026-08-27,410.18,1
77,11,2025-05-02,932.62,4
78,11,2025-06-01,932.62,0
79,11,2025-07-01,932.62,0
80,11,2025-07-31,932.62,0
81,11,2025-08-30,932.62,0
82,11,2025-09-29,932.62,0
83,11,2025-10-29,932.62,6
84,11,2025-11-28,932.62,0
85,11,2025-12-28,932.62,2
86,11,2026-01-27,932.62,2
87,11,2026-02-26,932.62,1
88,11,2026-03-28,932.62,0
89,11,2026-04-27,932.62,0
90,11,2026-05-27,932.62,0
91,11,2026-06-26,932.62,0
92,11,2026-07-26,932.62,2
93,11,2026-08-25,932.62,0
94,11,2026-09-24,932.62,0
95,12,2024-01-04,393.0,1
96,12,2024-02-03,393.0,1
97,12,2024-03-04,393.0,1
98,12,2024-04-03,393.0,0
99,13,2024-12-15,4698.83,5
100,13,2025-01-14,4698.83,5
101,13,2025-02-13,4698.83,0
102,13,2025-03-15,4698.83,6
103,13,2025-04-14,4698.83,2
104,13,2025-05-14,4698.83,0
105,14,2024-06-11,2670.65,0
106,14,2024-07-11,2670.65,4
107,14,2024-08-10,2670.65,1
108,14,2024-09-09,2670.65,2
109,14,2024-10-09,2670.65,0
110,14,2024-11-08,2670.65,1
111,14,2024-12-08,2670.65,4
112,14,2025-01-07,2670.65,4
113,14,2025-02-06,2670.65,1
114,14,2025-03-08,2670.65,0
115,14,2025-04-07,2670.65,0
116,15,2022-04-13,1248.0,13
117,15,2022-05-13,1248.0,44
118,15,2022-06-12,1248.0,3
119,15,2022-07-12,1248.0,24
120,15,2022-08-11,1248.0,12
121,15,2022-09-10,1248.0,4
122,16,2026-02-27,993.31,0
123,16,2026-03-29,993.31,1
124,16,2026-04-28,993.31,0
125,16,2026-05-28,993.31,0
126,17,2025-08-11,967.71,0
127,17,2025-09-10,967.71,0
128,17,2025-10-10,967.71,1
129,17,2025-11-09,967.71,1
130,17,2025-12-09,967.71,2
131,17,2026-01-08,967.71,1
132,17,2026-02-07,967.71,15
133,17,2026-03-09,967.71,5
134,17,2026-04-08,967.71,0
135,17,2026-05-08,967.71,4
136,17,2026-06-07,967.71,0
137,17,2026-07-07,967.71,4
138,17,2026-08-06,967.71,1
139,17,2026-09-05,967.71,7
140,17,2026-10-05,967.71,1
141,17,2026-11-04,967.71,0
142,18,2022-05-16,395.52,1
143,18,2022-06-15,395.52,1
144,18,2022-07-15,395.52,0
145,18,2022-08-14,395.52,0
146,18,2022-09-13,395.52,0
147,18,2022-10-13,395.52,1
148,18,2022-11-12,395.52,6
149,18,2022-12-12,395.52,0
150,18,2023-01-11,395.52,2
151,18,2023-02-10,395.52,0
152,19,2025-08-01,3220.0,1
153,19,2025-08-31,3220.0,9
154,19,2025-09-30,3220.0,1
155,19,2025-10-30,3220.0,7
156,19,2025-11-29,3220.0,0
157,19,2025-12-29,3220.0,24
158,19,2026-01-28,3220.0,22
159,20,2022-10-17,2380.83,11
160,20,2022-11-16,2380.83,10
161,20,2022-12-16,2380.83,46
162,20,2023-01-15,2380.83,2
163,20,2023-02-14,2380.83,12
164,20,2023-03-16,2380.83,2
165,20,2023-04-15,2380.83,13
166,20,2023-05-15,2380.83,12
167,20,2023-06-14,2380.83,3
168,20,2023-07-14,2380.83,0
169,20,2023-08-13,2380.83,7
170,20,2023-09-12,2380.83,10
171,20,2023-10-12,2380.83,10
172,20,2023-11-11,2380.83,24
173,20,2023-12-11,2380.83,0
174,20,2024-01-10,2380.83,13
175,20,2024-02-09,2380.83,0
176,20,2024-03-10,2380.83,25
177,21,2023-08-23,6881.5,34
178,21,2023-09-22,6881.5,44
179,22,2023-08-17,2149.25,1
180,22,2023-09-16,2149.25,6
181,22,2023-10-16,2149.25,5
182,22,2023-11-15,2149.25,4
183,22,2023-12-15,2149.25,47
184,22,2024-01-14,2149.25,21
185,22,2024-02-13,2149.25,0
186,22,2024-03-14,2149.25,10
187,22,2024-04-13,2149.25,1
188,23,2022-09-16,2246.79,0
189,23,2022-10-16,2246.79,1
190,23,2022-11-15,2246.79,0
191,23,2022-12-15,2246.79,0
192,23,2023-01-14,2246.79,0
193,23,2023-02-13,2246.79,1
194,23,2023-03-15,2246.79,3
195,23,2023-04-14,2246.79,0
196,23,2023-05-14,2246.79,1
197,24,2026-03-24,7830.25,0
198,24,2026-04-23,7830.25,0
199,24,2026-05-23,7830.25,1
200,24,2026-06-22,7830.25,5
201,24,2026-07-22,7830.25,0
202,24,2026-08-21,7830.25,1
203,25,2023-01-25,479.13,3
204,25,2023-02-24,479.13,1
205,25,2023-03-26,479.13,0
206,26,2023-02-05,527.85,18
207,26,2023-03-07,527.85,0
208,26,2023-04-06,527.85,2
209,26,2023-05-06,527.85,24
210,26,2023-06-05,527.85,9
211,26,2023-07-05,527.85,9
212,26,2023-08-04,527.85,25
213,26,2023-09-03,527.85,2
214,26,2023-10-03,527.85,0
215,26,2023-11-02,527.85,6
216,26,2023-12-02,527.85,5
217,26,2024-01-01,527.85,20
218,26,2024-01-31,527.85,60
219,26,2024-03-01,527.85,64
220,27,2024-01-03,1241.44,0
221,27,2024-02-02,1241.44,0
222,27,2024-03-03,1241.44,0
223,27,2024-04-02,1241.44,0
224,27,2024-05-02,1241.44,0
225,27,2024-06-01,1241.44,2
226,27,2024-07-01,1241.44,1
227,27,2024-07-31,1241.44,1
228,27,2024-08-30,1241.44,0
229,27,2024-09-29,1241.44,1
230,27,2024-10-29,1241.44,1
231,27,2024-11-28,1241.44,0
232,28,2022-12-12,2738.0,9
233,28,2023-01-11,2738.0,15
234,28,2023-02-10,2738.0,38
235,28,2023-03-12,2738.0,31
236,28,2023-04-11,2738.0,18
237,28,2023-05-11,2738.0,3
238,28,2023-06-10,2738.0,3
239,28,2023-07-10,2738.0,22
240,28,2023-08-09,2738.0,3
241,28,2023-09-08,2738.0,47
242,28,2023-10-08,2738.0,2
243,28,2023-11-07,2738.0,21
244,29,2024-05-25,421.36,8
245,29,2024-06-24,421.36,9
246,29,2024-07-24,421.36,20
247,29,2024-08-23,421.36,42
248,29,2024-09-22,421.36,7
249,29,2024-10-22,421.36,8
250,29,2024-11-21,421.36,27
251,30,2024-07-20,1428.72,2
252,30,2024-08-19,1428.72,0
253,30,2024-09-18,1428.72,2
254,30,2024-10-18,1428.72,2
255,30,2024-11-17,1428.72,4
256,30,2024-12-17,1428.72,0
257,30,2025-01-16,1428.72,0
258,30,2025-02-15,1428.72,0
259,30,2025-03-17,1428.72,0
260,30,2025-04-16,1428.72,0
261,30,2025-05-16,1428.72,0
262,30,2025-06-15,1428.72,1
263,30,2025-07-15,1428.72,1
264,30,2025-08-14,1428.72,3
265,30,2025-09-13,1428.72,3
266,30,2025-10-13,1428.72,1
267,30,2025-11-12,1428.72,0
268,31,2025-04-28,446.88,2
269,31,2025-05-28,446.88,4
270,31,2025-06-27,446.88,0
271,31,2025-07-27,446.88,0
272,31,2025-08-26,446.88,0
273,31,2025-09-25,446.88,7
274,31,2025-10-25,446.88,5
275,31,2025-11-24,446.88,3
276,31,2025-12-24,446.88,1
277,31,2026-01-23,446.88,0
278,31,2026-02-22,446.88,1
279,31,2026-03-24,446.88,0
280,31,2026-04-23,446.88,0
281,31,2026-05-23,446.88,5
282,31,2026-06-22,446.88,0
283,31,2026-07-22,446.88,2
284,32,2023-07-26,1601.04,12
285,32,2023-08-25,1601.04,2
286,32,2023-09-24,1601.04,0
287,32,2023-10-24,1601.04,0
288,32,2023-11-23,1601.04,0
289,32,2023-12-23,1601.04,1
290,32,2024-01-22,1601.04,0
291,32,2024-02-21,1601.04,1
292,32,2024-03-22,1601.04,0
293,32,2024-04-21,1601.04,2
294,32,2024-05-21,1601.04,1
295,32,2024-06-20,1601.04,6
296,32,2024-07-20,1601.04,0
297,33,2024-09-07,6109.67,0
298,33,2024-10-07,6109.67,2
299,33,2024-11-06,6109.67,9
300,33,2024-12-06,6109.67,2
301,33,2025-01-05,6109.67,2
302,33,2025-02-04,6109.67,2
303,34,2026-04-08,1124.97,3
304,34,2026-05-08,1124.97,0
305,34,2026-06-07,1124.97,2
306,34,2026-07-07,1124.97,0
307,34,2026-08-06,1124.97,1
308,34,2026-09-05,1124.97,1
309,34,2026-10-05,1124.97,2
310,34,2026-11-04,1124.97,0
311,34,2026-12-04,1124.97,2
312,34,2027-01-03,1124.97,5
313,34,2027-02-02,1124.97,2
314,35,2025-11-30,824.29,2
315,35,2025-12-30,824.29,4
316,35,2026-01-29,824.29,2
317,35,2026-02-28,824.29,10
318,35,2026-03-30,824.29,48
319,35,2026-04-29,824.29,1
320,35,2026-05-29,824.29,10
321,35,2026-06-28,824.29,3
322,35,2026-07-28,824.29,1
323,35,2026-08-27,824.29,11
324,35,2026-09-26,824.29,7
325,36,2022-11-24,337.97,0
326,36,2022-12-24,337.97,0
327,36,2023-01-23,337.97,0
328,36,2023-02-22,337.97,0
329,36,2023-03-24,337.97,0
330,36,2023-04-23,337.97,1
331,36,2023-05-23,337.97,0
332,36,2023-06-22,337.97,1
333,36,2023-07-22,337.97,2
334,36,2023-08-21,337.97,1
335,36,2023-09-20,337.97,1
336,36,2023-10-20,337.97,1
337,36,2023-11-19,337.97,3
338,36,2023-12-19,337.97,5
339,37,2024-08-07,6869.14,0
340,37,2024-09-06,6869.14,3
341,37,2024-10-06,6869.14,0
342,37,2024-11-05,6869.14,0
343,37,2024-12-05,6869.14,0
344,37,2025-01-04,6869.14,0
345,37,2025-02-03,6869.14,0
346,37,2025-03-05,6869.14,0
347,37,2025-04-04,6869.14,0
348,37,2025-05-04,6869.14,3
349,37,2025-06-03,6869.14,0
350,37,2025-07-03,6869.14,3
351,37,2025-08-02,6869.14,0
352,37,2025-09-01,6869.14,3
353,37,2025-10-01,6869.14,0
354,38,2025-01-20,4026.27,0
355,38,2025-02-19,4026.27,2
356,38,2025-03-21,4026.27,0
357,38,2025-04-20,4026.27,1
358,38,2025-05-20,4026.27,1
359,38,2025-06-19,4026.27,0
360,38,2025-07-19,4026.27,1
361,38,2025-08-18,4026.27,1
362,38,2025-09-17,4026.27,0
363,39,2025-01-23,4938.0,0
364,39,2025-02-22,4938.0,1
365,39,2025-03-24,4938.0,3
366,39,2025-04-23,4938.0,0
367,40,2024-07-03,1932.75,5
368,40,2024-08-02,1932.75,1
369,40,2024-09-01,1932.75,0
370,40,2024-10-01,1932.75,2
371,40,2024-10-31,1932.75,2
372,40,2024-11-30,1932.75,0
373,40,2024-12-30,1932.75,0
374,40,2025-01-29,1932.75,0
375,40,2025-02-28,1932.75,0
376,40,2025-03-30,1932.75,1
377,40,2025-04-29,1932.75,0
378,40,2025-05-29,1932.75,1
379,41,2023-12-18,643.27,4
380,41,2024-01-17,643.27,16
381,41,2024-02-16,643.27,47
382,41,2024-03-17,643.27,25
383,41,2024-04-16,643.27,4
384,41,2024-05-16,643.27,10
385,41,2024-06-15,643.27,13
386,41,2024-07-15,643.27,8
387,42,2023-07-07,1038.21,2
388,42,2023-08-06,1038.21,0
